activity,address,mail,name,phone,website
"AUTOMOBILES, CLEANING MATERIALS & EQUIPMENT", AVE DU 14 OCTOBRE MAJUNGA 401    ,rafcomada@gmail.com,RAFCO AUTO PNEUS MADAGASCAR,(+261) 32 78 747 90,
ANIMAL HUSBANDRY, IVATO 101 ANTANANARIVO   ,avitech@moov.mg,AVITECH,(+261) 20 22 445 83 (+261) 20 22 482 69,
ANIMAL HUSBANDRY, TOLIARY   ,,BERTIL AKESSON,(+261) 209 44 38 86,
ANIMAL HUSBANDRY, BP. 8271 ANTANANARIVO   ,commercial@agrichimad.mg,DISTRIVET,(+261) 202 35 84 94 (+261) 202 32 52 59,
ANIMAL HUSBANDRY, RTE MAHAJANGA ANTANANARIVO   ,,ELEVAGE D'IVATO,(+261) 202 24 40 43,
"AGRICULTURE, PRODUCTS", BP. 8271 ANTANANARIVO    ,commercial@agrichimad.mg,AGRICULTURE CHIMIE MADAGASCAR,(+261) 202 25 84 94 (+261) 202 22 52 59,
CARS & DEALERS, BP. 83 ANTANANARIVO   ,austral@iris.mg,AUSTRAL AUTOMOBILES,(+261) 202 22 29 61 (+261) 202 23 36 73,
CARS & DEALERS, BP. 5068 ANTANANARIVO    ,auto_diffusion@blueline.mg,AUTO DIFFUSION,(+261) 202 24 56 68 (+261) 202 25 88 19,
CARS & DEALERS, ANTANIMENA ANTANANARIVO   ,,AUTOMA,(+261) 202 23 19 20,www.sodiat.mg    
CARS & DEALERS," RTE DES HYDROCARBURES, ANKORONDRANO ANTANANARIVO    ",bonjour@continental-auto.mg,CONTINENTAL AUTO,(+261) 34 11 644 41,
ANIMAL HUSBANDRY, ANKATSO ANTANANARIVO   ,,ESSA FORETS,(+261) 202 23 16 09,www.lalandaise.com    
"AGRICULTURE, PRODUCTS", RTE ANTSIRABE ANTANANARIVO    ,agrobp@agrobp.com,AGRO B & P CONSEIL,(+261) 03 31 13 97 64 (+261) 202 23 46 76,www.3dmadagascar.com/acm    
